batchInterval,spark.streaming.blockInterval,spark.default.parallelism,spark.executor.instances,spark.executor.cores,spark.executor.memory,spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,spark.shuffle.compress
1,50,18,3,2,3276m,48m,24,false
1,125,18,3,2,3276m,48m,15,true
2,500,18,3,2,3276m,48m,10,false
2,250,18,3,2,3276m,398m,10,false
5,1250,18,3,2,3276m,48m,9,true
10,1250,18,3,2,3276m,114m,10,false
10,625,18,3,2,3276m,12m,12,true
10,625,18,3,2,3276m,48m,27,true
1,50,36,3,4,6553m,48m,43,true
1,50,36,3,4,6553m,117m,46,false
1,50,36,3,4,6553m,48m,46,false
5,200,36,3,4,6553m,71m,33,false
5,200,36,3,4,6553m,48m,28,false
5,200,36,3,4,6553m,34m,43,false
5,200,36,3,4,6553m,48m,32,true
10,400,36,3,4,6553m,48m,29,false
2,125,16,2,4,6553m,48m,17,false
2,500,16,2,4,6553m,160m,10,true
2,500,16,2,4,6553m,48m,22,true
2,250,16,2,4,6553m,48m,23,true
2,125,16,2,4,6553m,48m,20,true
5,1250,16,2,4,6553m,66m,14,false
10,625,16,2,4,6553m,48m,13,false
10,1250,16,2,4,6553m,48m,9,true
1,50,64,8,4,6553m,48m,68,false
1,50,64,8,4,6553m,21m,66,false
2,50,64,8,4,6553m,48m,68,true
5,250,64,8,4,6553m,48m,57,false
5,125,64,8,4,6553m,48m,62,true
10,125,64,8,4,6553m,48m,59,true
10,500,64,8,4,6553m,48m,54,false
10,250,64,8,4,6553m,48m,58,false
